#,Club,Competition,Market value
63,Club Atlético Boca Juniors,Primera División,"118,50 Mill. €"
64,West Bromwich Albion,Championship,"115,95 Mill. €"
65,Stade Rennais FC,Ligue 1,"114,75 Mill. €"
66,Red Bull Salzburg,Bundesliga,"114,10 Mill. €"
67,Lokomotiv Moscow,Premier Liga,"112,80 Mill. €"
68,US Sassuolo,Serie A,"112,43 Mill. €"
69,SV Werder Bremen,1.Bundesliga,"111,40 Mill. €"
70,Cagliari Calcio,Serie A,"108,28 Mill. €"
71,Huddersfield Town,Premier League,"107,10 Mill. €"
72,Feyenoord Rotterdam,Eredivisie,"106,75 Mill. €"
73,Shakhtar Donetsk,Premier Liga,"106,50 Mill. €"
74,Udinese Calcio,Serie A,"97,55 Mill. €"
75,Club Brugge KV,Jupiler Pro League,"97,35 Mill. €"
76,FC Augsburg,1.Bundesliga,"96,35 Mill. €"
77,LOSC Lille,Ligue 1,"91,60 Mill. €"
78,Guangzhou Evergrande Taobao,Super League,"90,65 Mill. €"
79,FC Girondins Bordeaux,Ligue 1,"90,25 Mill. €"
80,FC Nantes,Ligue 1,"89,25 Mill. €"
81,Club Atlético Independiente,Primera División,"85,65 Mill. €"
82,Galatasaray SK,Süper Lig,"84,50 Mill. €"
83,1.FSV Mainz 05,1.Bundesliga,"84,48 Mill. €"
84,Genoa CFC,Serie A,"83,10 Mill. €"
85,SC Freiburg,1.Bundesliga,"83,00 Mill. €"
86,RSC Anderlecht,Jupiler Pro League,"81,48 Mill. €"
87,Hannover 96,1.Bundesliga,"80,70 Mill. €"
88,Clube de Regatas do Flamengo,Série A,"79,55 Mill. €"
89,Olympiacos Piraeus,Super League,"79,45 Mill. €"
90,Fenerbahce SK,Süper Lig,"79,00 Mill. €"
91,Aston Villa,Championship,"78,35 Mill. €"
92,Sociedade Esportiva Palmeiras,Série A,"77,83 Mill. €"
93,Club Atlético River Plate,Primera División,"77,20 Mill. €"
94,CSKA Moscow,Premier Liga,"76,70 Mill. €"
95,1. FC Köln,2.Bundesliga,"75,25 Mill. €"
96,Middlesbrough FC,Championship,"74,25 Mill. €"
97,Getafe CF,LaLiga,"73,90 Mill. €"
98,Bologna FC 1909,Serie A,"73,83 Mill. €"
99,FC Toulouse,Ligue 1,"72,95 Mill. €"
100,FK Krasnodar,Premier Liga,"71,50 Mill. €"
